,id,size,state,population,percap
0,01,900.0,Alabama,5024279,17.91
1,02,283.0,Alaska,733391,38.59
2,04,7452.0,Arizona,7151502,104.2
3,05,1174.0,Arkansas,3011524,38.98
4,06,42066.0,California,39538223,106.39
5,08,5202.0,Colorado,5773714,90.1
6,09,3929.0,Connecticut,3605944,108.96
7,10,971.0,Delaware,989948,98.09
8,11,2109.0,District of Columbia,689545,305.85
9,12,5789.0,Florida,21538187,26.88
10,13,1908.0,Georgia,10711908,17.81
11,15,262.0,Hawaii,1455271,18.0
12,16,1365.0,Idaho,1839106,74.22
13,17,6287.0,Illinois,12812508,49.07
14,18,2615.0,Indiana,6785528,38.54
15,19,1153.0,Iowa,3190369,36.14
16,20,2216.0,Kansas,2937880,75.43
17,21,3759.0,Kentucky,4505836,83.43
18,22,834.0,Louisiana,4657757,17.91
19,23,1530.0,Maine,1362359,112.31
20,24,6337.0,Maryland,6177224,102.59
21,25,12575.0,Massachusetts,7029917,178.88
22,26,13398.0,Michigan,10077331,132.95
23,27,5344.0,Minnesota,5706494,93.65
24,28,268.0,Mississippi,2961279,9.05
25,29,3817.0,Missouri,6154913,62.02
26,30,736.0,Montana,1084225,67.88
27,31,1296.0,Nebraska,1961504,66.07
28,32,2174.0,Nevada,3104614,70.02
29,33,754.0,New Hampshire,1377529,54.74
30,34,24099.0,New Jersey,9288994,259.44
31,35,732.0,New Mexico,2117522,34.57
32,36,22727.0,New York,20201249,112.5
33,37,3610.0,North Carolina,10439388,34.58
34,38,505.0,North Dakota,779094,64.82
35,39,10416.0,Ohio,11799448,88.28
36,40,1684.0,Oklahoma,3959353,42.53
37,41,5442.0,Oregon,4237256,128.43
38,42,4432.0,Pennsylvania,13002700,34.09
39,44,941.0,Rhode Island,1097379,85.75
40,45,2343.0,South Carolina,5118425,45.78
41,46,628.0,South Dakota,886667,70.83
42,47,4402.0,Tennessee,6910840,63.7
43,48,9990.0,Texas,29145505,34.28
44,49,2090.0,Utah,3271616,63.88
45,50,731.0,Vermont,643077,113.67
46,51,6173.0,Virginia,8631393,71.52
47,53,10129.0,Washington,7705281,131.46
48,54,1149.0,West Virginia,1793716,64.06
49,55,1971.0,Wisconsin,5893718,33.44
50,56,234.0,Wyoming,576851,40.57
51,72,0.0,Puerto Rico,3285874,0.0
