,id,size,state,population,percap
0,01,6,Alabama,5024279,0.12
1,02,10,Alaska,733391,1.36
2,04,162,Arizona,7151502,2.27
3,05,25,Arkansas,3011524,0.83
4,06,2314,California,39538223,5.85
5,08,183,Colorado,5773714,3.17
6,09,99,Connecticut,3605944,2.75
7,10,19,Delaware,989948,1.92
8,11,35,District of Columbia,689545,5.08
9,12,56,Florida,21538187,0.26
10,13,39,Georgia,10711908,0.36
11,15,24,Hawaii,1455271,1.65
12,16,30,Idaho,1839106,1.63
13,17,156,Illinois,12812508,1.22
14,18,70,Indiana,6785528,1.03
15,19,40,Iowa,3190369,1.25
16,20,48,Kansas,2937880,1.63
17,21,60,Kentucky,4505836,1.33
18,22,6,Louisiana,4657757,0.13
19,23,45,Maine,1362359,3.3
20,24,173,Maryland,6177224,2.8
21,25,680,Massachusetts,7029917,9.67
22,26,233,Michigan,10077331,2.31
23,27,289,Minnesota,5706494,5.06
24,28,7,Mississippi,2961279,0.24
25,29,64,Missouri,6154913,1.04
26,30,8,Montana,1084225,0.74
27,31,40,Nebraska,1961504,2.04
28,32,73,Nevada,3104614,2.35
29,33,27,New Hampshire,1377529,1.96
30,34,750,New Jersey,9288994,8.07
31,35,15,New Mexico,2117522,0.71
32,36,460,New York,20201249,2.28
33,37,48,North Carolina,10439388,0.46
34,38,4,North Dakota,779094,0.51
35,39,153,Ohio,11799448,1.3
36,40,40,Oklahoma,3959353,1.01
37,41,198,Oregon,4237256,4.67
38,42,204,Pennsylvania,13002700,1.57
39,44,42,Rhode Island,1097379,3.83
40,45,20,South Carolina,5118425,0.39
41,46,4,South Dakota,886667,0.45
42,47,70,Tennessee,6910840,1.01
43,48,234,Texas,29145505,0.8
44,49,44,Utah,3271616,1.34
45,50,16,Vermont,643077,2.49
46,51,165,Virginia,8631393,1.91
47,53,555,Washington,7705281,7.2
48,54,15,West Virginia,1793716,0.84
49,55,117,Wisconsin,5893718,1.99
50,56,7,Wyoming,576851,1.21
