,id,size,state,population,percap
0,01,288,Alabama,5024279,5.73
1,02,92,Alaska,733391,12.54
2,04,2580,Arizona,7151502,36.08
3,05,389,Arkansas,3011524,12.92
4,06,13043,California,39538223,32.99
5,08,1545,Colorado,5773714,26.76
6,09,1417,Connecticut,3605944,39.3
7,10,429,Delaware,989948,43.34
8,11,263,District of Columbia,689545,38.14
9,12,1944,Florida,21538187,9.03
10,13,693,Georgia,10711908,6.47
11,15,68,Hawaii,1455271,4.67
12,16,341,Idaho,1839106,18.54
13,17,2375,Illinois,12812508,18.54
14,18,1038,Indiana,6785528,15.3
15,19,518,Iowa,3190369,16.24
16,20,871,Kansas,2937880,29.65
17,21,1417,Kentucky,4505836,31.45
18,22,282,Louisiana,4657757,6.05
19,23,560,Maine,1362359,41.11
20,24,3006,Maryland,6177224,48.66
21,25,3982,Massachusetts,7029917,56.64
22,26,5160,Michigan,10077331,51.2
23,27,2074,Minnesota,5706494,36.34
24,28,64,Mississippi,2961279,2.16
25,29,1800,Missouri,6154913,29.24
26,30,129,Montana,1084225,11.9
27,31,417,Nebraska,1961504,21.26
28,32,690,Nevada,3104614,22.22
29,33,243,New Hampshire,1377529,17.64
30,34,9389,New Jersey,9288994,101.08
31,35,161,New Mexico,2117522,7.6
32,36,4913,New York,20201249,24.32
33,37,1479,North Carolina,10439388,14.17
34,38,127,North Dakota,779094,16.3
35,39,3670,Ohio,11799448,31.1
36,40,770,Oklahoma,3959353,19.45
37,41,1670,Oregon,4237256,39.41
38,42,1967,Pennsylvania,13002700,15.13
39,44,263,Rhode Island,1097379,23.97
40,45,865,South Carolina,5118425,16.9
41,46,128,South Dakota,886667,14.44
42,47,1551,Tennessee,6910840,22.44
43,48,3490,Texas,29145505,11.97
44,49,340,Utah,3271616,10.39
45,50,229,Vermont,643077,35.61
46,51,2363,Virginia,8631393,27.38
47,53,3233,Washington,7705281,41.96
48,54,326,West Virginia,1793716,18.17
49,55,558,Wisconsin,5893718,9.47
50,56,77,Wyoming,576851,13.35
