,id,size,state,population,percap
0,01,6.0,Alabama,5024279,0.12
1,02,2.0,Alaska,733391,0.27
2,04,23.0,Arizona,7151502,0.32
3,05,2.0,Arkansas,3011524,0.07
4,06,53.0,California,39538223,0.13
5,08,3.0,Colorado,5773714,0.05
6,09,3.0,Connecticut,3605944,0.08
7,10,0.0,Delaware,989948,0.0
8,11,4.0,District of Columbia,689545,0.58
9,12,5.0,Florida,21538187,0.02
10,13,9.0,Georgia,10711908,0.08
11,15,4.0,Hawaii,1455271,0.27
12,16,2.0,Idaho,1839106,0.11
13,17,6.0,Illinois,12812508,0.05
14,18,8.0,Indiana,6785528,0.12
15,19,1.0,Iowa,3190369,0.03
16,20,3.0,Kansas,2937880,0.1
17,21,20.0,Kentucky,4505836,0.44
18,22,4.0,Louisiana,4657757,0.09
19,23,4.0,Maine,1362359,0.29
20,24,6.0,Maryland,6177224,0.1
21,25,60.0,Massachusetts,7029917,0.85
22,26,46.0,Michigan,10077331,0.46
23,27,8.0,Minnesota,5706494,0.14
24,28,1.0,Mississippi,2961279,0.03
25,29,22.0,Missouri,6154913,0.36
26,30,5.0,Montana,1084225,0.46
27,31,3.0,Nebraska,1961504,0.15
28,32,6.0,Nevada,3104614,0.19
29,33,3.0,New Hampshire,1377529,0.22
30,34,44.0,New Jersey,9288994,0.47
31,35,5.0,New Mexico,2117522,0.24
32,36,19.0,New York,20201249,0.09
33,37,13.0,North Carolina,10439388,0.12
34,38,0.0,North Dakota,779094,0.0
35,39,16.0,Ohio,11799448,0.14
36,40,4.0,Oklahoma,3959353,0.1
37,41,13.0,Oregon,4237256,0.31
38,42,4.0,Pennsylvania,13002700,0.03
39,44,1.0,Rhode Island,1097379,0.09
40,45,6.0,South Carolina,5118425,0.12
41,46,2.0,South Dakota,886667,0.23
42,47,5.0,Tennessee,6910840,0.07
43,48,32.0,Texas,29145505,0.11
44,49,2.0,Utah,3271616,0.06
45,50,0.0,Vermont,643077,0.0
46,51,41.0,Virginia,8631393,0.48
47,53,46.0,Washington,7705281,0.6
48,54,3.0,West Virginia,1793716,0.17
49,55,18.0,Wisconsin,5893718,0.31
50,56,4.0,Wyoming,576851,0.69
51,72,0.0,Puerto Rico,3285874,0.0
