,id,size,state,population,percap
0,01,32,Alabama,5024279,0.64
1,02,3,Alaska,733391,0.41
2,04,839,Arizona,7151502,11.73
3,05,78,Arkansas,3011524,2.59
4,06,4007,California,39538223,10.13
5,08,661,Colorado,5773714,11.45
6,09,228,Connecticut,3605944,6.32
7,10,47,Delaware,989948,4.75
8,11,137,District of Columbia,689545,19.87
9,12,153,Florida,21538187,0.71
10,13,100,Georgia,10711908,0.93
11,15,3,Hawaii,1455271,0.21
12,16,257,Idaho,1839106,13.97
13,17,316,Illinois,12812508,2.47
14,18,181,Indiana,6785528,2.67
15,19,65,Iowa,3190369,2.04
16,20,162,Kansas,2937880,5.51
17,21,199,Kentucky,4505836,4.42
18,22,14,Louisiana,4657757,0.3
19,23,35,Maine,1362359,2.57
20,24,161,Maryland,6177224,2.61
21,25,942,Massachusetts,7029917,13.4
22,26,465,Michigan,10077331,4.61
23,27,219,Minnesota,5706494,3.84
24,28,28,Mississippi,2961279,0.95
25,29,139,Missouri,6154913,2.26
26,30,36,Montana,1084225,3.32
27,31,117,Nebraska,1961504,5.96
28,32,263,Nevada,3104614,8.47
29,33,21,New Hampshire,1377529,1.52
30,34,1212,New Jersey,9288994,13.05
31,35,85,New Mexico,2117522,4.01
32,36,937,New York,20201249,4.64
33,37,260,North Carolina,10439388,2.49
34,38,32,North Dakota,779094,4.11
35,39,325,Ohio,11799448,2.75
36,40,90,Oklahoma,3959353,2.27
37,41,596,Oregon,4237256,14.07
38,42,284,Pennsylvania,13002700,2.18
39,44,50,Rhode Island,1097379,4.56
40,45,126,South Carolina,5118425,2.46
41,46,49,South Dakota,886667,5.53
42,47,241,Tennessee,6910840,3.49
43,48,991,Texas,29145505,3.4
44,49,200,Utah,3271616,6.11
45,50,13,Vermont,643077,2.02
46,51,248,Virginia,8631393,2.87
47,53,660,Washington,7705281,8.57
48,54,16,West Virginia,1793716,0.89
49,55,129,Wisconsin,5893718,2.19
50,56,19,Wyoming,576851,3.29
