,id,size,state,population,percap
0,01,13,Alabama,5024279,0.26
1,02,9,Alaska,733391,1.23
2,04,747,Arizona,7151502,10.45
3,05,12,Arkansas,3011524,0.4
4,06,4522,California,39538223,11.44
5,08,408,Colorado,5773714,7.07
6,09,621,Connecticut,3605944,17.22
7,10,95,Delaware,989948,9.6
8,11,87,District of Columbia,689545,12.62
9,12,747,Florida,21538187,3.47
10,13,80,Georgia,10711908,0.75
11,15,7,Hawaii,1455271,0.48
12,16,63,Idaho,1839106,3.43
13,17,596,Illinois,12812508,4.65
14,18,143,Indiana,6785528,2.11
15,19,50,Iowa,3190369,1.57
16,20,76,Kansas,2937880,2.59
17,21,98,Kentucky,4505836,2.17
18,22,25,Louisiana,4657757,0.54
19,23,118,Maine,1362359,8.66
20,24,887,Maryland,6177224,14.36
21,25,1872,Massachusetts,7029917,26.63
22,26,544,Michigan,10077331,5.4
23,27,340,Minnesota,5706494,5.96
24,28,5,Mississippi,2961279,0.17
25,29,137,Missouri,6154913,2.23
26,30,50,Montana,1084225,4.61
27,31,80,Nebraska,1961504,4.08
28,32,194,Nevada,3104614,6.25
29,33,142,New Hampshire,1377529,10.31
30,34,6842,New Jersey,9288994,73.66
31,35,45,New Mexico,2117522,2.13
32,36,8807,New York,20201249,43.6
33,37,178,North Carolina,10439388,1.71
34,38,14,North Dakota,779094,1.8
35,39,356,Ohio,11799448,3.02
36,40,64,Oklahoma,3959353,1.62
37,41,381,Oregon,4237256,8.99
38,42,579,Pennsylvania,13002700,4.45
39,44,152,Rhode Island,1097379,13.85
40,45,49,South Carolina,5118425,0.96
41,46,18,South Dakota,886667,2.03
42,47,135,Tennessee,6910840,1.95
43,48,505,Texas,29145505,1.73
44,49,71,Utah,3271616,2.17
45,50,65,Vermont,643077,10.11
46,51,481,Virginia,8631393,5.57
47,53,677,Washington,7705281,8.79
48,54,37,West Virginia,1793716,2.06
49,55,103,Wisconsin,5893718,1.75
50,56,19,Wyoming,576851,3.29
