,id,size,state,population,percap
0,01,90,Alabama,5024279,1.79
1,02,50,Alaska,733391,6.82
2,04,1316,Arizona,7151502,18.4
3,05,133,Arkansas,3011524,4.42
4,06,9123,California,39538223,23.07
5,08,988,Colorado,5773714,17.11
6,09,568,Connecticut,3605944,15.75
7,10,192,Delaware,989948,19.39
8,11,1052,District of Columbia,689545,152.56
9,12,997,Florida,21538187,4.63
10,13,417,Georgia,10711908,3.89
11,15,42,Hawaii,1455271,2.89
12,16,181,Idaho,1839106,9.84
13,17,1044,Illinois,12812508,8.15
14,18,426,Indiana,6785528,6.28
15,19,200,Iowa,3190369,6.27
16,20,321,Kansas,2937880,10.93
17,21,525,Kentucky,4505836,11.65
18,22,112,Louisiana,4657757,2.4
19,23,536,Maine,1362359,39.34
20,24,487,Maryland,6177224,7.88
21,25,2440,Massachusetts,7029917,34.71
22,26,1630,Michigan,10077331,16.17
23,27,925,Minnesota,5706494,16.21
24,28,23,Mississippi,2961279,0.78
25,29,518,Missouri,6154913,8.42
26,30,137,Montana,1084225,12.64
27,31,218,Nebraska,1961504,11.11
28,32,376,Nevada,3104614,12.11
29,33,184,New Hampshire,1377529,13.36
30,34,2155,New Jersey,9288994,23.2
31,35,155,New Mexico,2117522,7.32
32,36,3179,New York,20201249,15.74
33,37,518,North Carolina,10439388,4.96
34,38,69,North Dakota,779094,8.86
35,39,1519,Ohio,11799448,12.87
36,40,183,Oklahoma,3959353,4.62
37,41,1219,Oregon,4237256,28.77
38,42,374,Pennsylvania,13002700,2.88
39,44,223,Rhode Island,1097379,20.32
40,45,312,South Carolina,5118425,6.1
41,46,97,South Dakota,886667,10.94
42,47,689,Tennessee,6910840,9.97
43,48,1960,Texas,29145505,6.72
44,49,415,Utah,3271616,12.68
45,50,164,Vermont,643077,25.5
46,51,773,Virginia,8631393,8.96
47,53,2006,Washington,7705281,26.03
48,54,150,West Virginia,1793716,8.36
49,55,417,Wisconsin,5893718,7.08
50,56,47,Wyoming,576851,8.15
