,id,size,state,population,percap
0,01,185,Alabama,5024279,3.68
1,02,33,Alaska,733391,4.5
2,04,542,Arizona,7151502,7.58
3,05,388,Arkansas,3011524,12.88
4,06,2529,California,39538223,6.4
5,08,519,Colorado,5773714,8.99
6,09,376,Connecticut,3605944,10.43
7,10,95,Delaware,989948,9.6
8,11,214,District of Columbia,689545,31.03
9,12,886,Florida,21538187,4.11
10,13,285,Georgia,10711908,2.66
11,15,89,Hawaii,1455271,6.12
12,16,161,Idaho,1839106,8.75
13,17,1003,Illinois,12812508,7.83
14,18,317,Indiana,6785528,4.67
15,19,138,Iowa,3190369,4.33
16,20,283,Kansas,2937880,9.63
17,21,590,Kentucky,4505836,13.09
18,22,175,Louisiana,4657757,3.76
19,23,51,Maine,1362359,3.74
20,24,827,Maryland,6177224,13.39
21,25,1298,Massachusetts,7029917,18.46
22,26,2831,Michigan,10077331,28.09
23,27,750,Minnesota,5706494,13.14
24,28,30,Mississippi,2961279,1.01
25,29,656,Missouri,6154913,10.66
26,30,148,Montana,1084225,13.65
27,31,185,Nebraska,1961504,9.43
28,32,295,Nevada,3104614,9.5
29,33,29,New Hampshire,1377529,2.11
30,34,1433,New Jersey,9288994,15.43
31,35,84,New Mexico,2117522,3.97
32,36,1476,New York,20201249,7.31
33,37,490,North Carolina,10439388,4.69
34,38,75,North Dakota,779094,9.63
35,39,1859,Ohio,11799448,15.75
36,40,206,Oklahoma,3959353,5.2
37,41,400,Oregon,4237256,9.44
38,42,594,Pennsylvania,13002700,4.57
39,44,70,Rhode Island,1097379,6.38
40,45,409,South Carolina,5118425,7.99
41,46,140,South Dakota,886667,15.79
42,47,755,Tennessee,6910840,10.92
43,48,1223,Texas,29145505,4.2
44,49,366,Utah,3271616,11.19
45,50,109,Vermont,643077,16.95
46,51,916,Virginia,8631393,10.61
47,53,1017,Washington,7705281,13.2
48,54,362,West Virginia,1793716,20.18
49,55,276,Wisconsin,5893718,4.68
50,56,20,Wyoming,576851,3.47
